No.,ID,Vietnames_names,Province,final_lat,final_lon,Giai đoạn 1981-2000,Số năm,Giai đoạn 2011-2020,Số năm.1,elevation,distance_to_coast_km
55,p.bentretv,Bến Tre,Bến Tre,10.219698,106.434813,,,2011-2020,10,8,6.885322533422541
56,bienho,Biển Hồ,Gia Lai,14.049,108.018,1981-2000,20,2011-2017,7,767,125.43443631997594
57,bienhoa,Biên Hoà,Đồng Nai,10.92,106.82,,,2011-2020,10,12,26.364661662247403
58,p.binhchanh,Bình Chánh,TPHCM,10.667,106.567,1981-2000,20,2011-2017,7,5,18.606627436730033
59,p.binhdaitv,Bình Đại,Bến Tre,10.2,106.7,1981-2000,20,2011-2020,10,10,0.7059365151323344
60,binhdien,Bình Điền,  Huế,16.35,107.5,1981-2000,20,2011-2017,7,15,23.86378825773588
61,p.binhgia,Bình Gia,Lạng Sơn,21.95,106.35,1981-2000,20,2011-2017,7,386,107.29866196492817
62,p.binhlong,Bình Long,Bình Phước,11.633,106.6,1981-2000,20,2011-2017,7,91,106.39809316281887
63,p.binhlu,Bình Lư,Lai Châu,22.317,103.633,1981-2000,20,2011-2017,7,621,342.83605232170135
64,binhtuong,Bình Tường,Phú Yên,13.9333,108.8667,1981-2000,20,2011-2020,10,84,40.629886890582284
65,p.binhxuyen,Bình Xuyên,Vĩnh Phúc,21.267,105.65,1981-2000,20,2011-2017,7,4,106.58928531091318
66,p.bohant,Bố Hạ,Bắc Giang,21.467,106.2,1981-2000,20,2011-2017,7,11,67.47104503444082
67,bongson,Bồng Sơn,Bình Định,14.399,109.0351,1981-2000,20,2011-2020,10,274,10.165866378226594
68,p.budang,Bù Đăng,Bình Phước,11.8,107.25,1981-2000,20,2011-2017,7,251,125.19404951175997
69,p.budop,Bù Đốp,Bình Phước,11.833,106.6,1981-2000,20,2011-2017,7,108,128.23185489049595
70,p.bunho,Bù Nho,Bình Phước,11.717,106.867,1981-2000,20,2011-2017,7,123,113.30797261160589
71,buonho,Buôn Hồ,Đăk Lắk,12.917,108.627,1981-2000,20,2011-2020,10,299,69.65214882229928
72,buonmethuot,Buôn Mê Thuột,Đắc Lắk,12.667,108.05,1981-2000,20,2011-2020,10,461,122.29250003394519
73,caibe,Cái Bè,Tiền Giang,10.41,106.1,1981-2000,20,2011-2017,7,3,18.871098354187666
